CatalogNumber,Date,TradeDirection,ProductName,CompanyName,ContactPerson,Protein,TestWeight,FallingNumber,Quantity,DeliveryParity,LocationDetail,Price,Currency,GMP,ISCC,PublicNotes,PrivateNotes,,,,,,,,,,,,,,,,,,,,
101,30.10.2023,offer,wheat,,Branko,,,,,,,,,,,"wheat 11,5/800/300, 200t, 170€/t do 15.12.2023 + 10,5/780/300 ARCEOS 180€/t 2/2024, FCA PN +20km",,,,,,,,,,,,,,,,,,,,,
102,30.10.2023,offer,wheat,,Branko,,,,,,,,,,,"durum 13/780/260/75, 4.000 t, 9-10/2024, FCA TV, možnosť vlakov, 305€/t",,,,,,,,,,,,,,,,,,,,,
103,29.1.2024,offer,wheat,,Szabolcs,,,,,,,,,,,"wheat, STN E, 500t, FCA Komárno-Ostrihom",Búč,,,,,,,,,,,,,,,,,,,,
104,29.1.2024,offer,maize,,Szabolcs,,,,,,,,,,,"maize 300t, FCA Komárno-Ostrihom",Búč,,,,,,,,,,,,,,,,,,,,
105,29.1.2024,offer,maize,,Szabolcs,,,,,,,,,,,"feedwheat, 500t, FCA Dun.Streda",Topoľníky,,,,,,,,,,,,,,,,,,,,
106,29.1.2024,offer,wheat,,Szabolcs,,,,,,,,,,,"maize, 500t, FCA Dun.Streda",Topoľníky,,,,,,,,,,,,,,,,,,,,
107,29.1.2024,offer,durum,,Szabolcs,,,,,,,,,,,"durum, 11,5/85/220/80, FCA Kolárovo, 600t, 2-3/2024",,,,,,,,,,,,,,,,,,,,,
108,29.1.2024,offer,sorghum,,Szabolcs,,,,,,,,,,,"sorghum rot(červený cirok), 500t, FCA Kolárovo, 2-3/2024, 150€/t",,,,,,,,,,,,,,,,,,,,,
109,29.1.2024,offer,sunflower,,Braňo,,,,,,,,,,,"sunflower low oleic, black, 500t, FCA Trebišov, 10-11/2024, 370€/t???",,,,,,,,,,,,,,,,,,,,,
110,29.1.2024,offer,wheat,,Braňo,,,,,,,,,,,"wheat, Arkeos, 10,5/76/220, FCA Piešťany +20km, 100t, 180€/t",,,,,,,,,,,,,,,,,,,,,
111,29.1.2024,offer,oats,,Braňo,,,,,,,,,,,"oats feed, yelow, 48kg/HL, 25t, FCA Topolčany +20km, 2/2024, 275€/t ",,,,,,,,,,,,,,,,,,,,,
112,29.1.2024,offer,durum,,Braňo,,,,,,,,,,,"durum, 13/80/250/75, 150t, FCA Trnava+20km, 2-3/2024, 325€/t",,,,,,,,,,,,,,,,,,,,,
113,29.1.2024,offer,barley,,Braňo,,,,,,,,,,,"barley 65kg/HL, FCA Trnava+20km, 2-3/2024, 50t, 150€/t",,,,,,,,,,,,,,,,,,,,,
114,29.1.2024,offer,barley,,Braňo,,,,,,,,,,,"Xbarley 58kg/HL, FCA Piešťany + 20km, 50t, 2-3/2024, 140€/tX",,,,,,,,,,,,,,,,,,,,,
115,29.1.2024,offer,maize,,Braňo,,,,,,,,,,,"Xmaize, 14,5/8/2, iscc, gmp, FCA Piešťany + 20km, 163€/t, 200t X",Braňo predal Dušanovi,,,,,,,,,,,,,,,,,,,,
116,29.1.2024,offer,millet,,Braňo,,,,,,,,,,,"millet(proso), 200t, FCA Šahy, 2-3/2024, 283€/t",,,,,,,,,,,,,,,,,,,,,
117,29.1.2024,offer,rapeseed,,Braňo,,,,,,,,,,,"Xrapeseed, 40/9/2, iscc, gmp, FCA Topolčany+20km, 2-3/2024, 425€/tX",Braňo predal na Enviral,,,,,,,,,,,,,,,,,,,,
118,29.1.2024,offer,pšenica,,Milan,,,,,,,,,,,"13-14%/?/?, 2000t, FCA Levice-Krupina, price? , 2-4/2024",Horné Semerovce,,,,,,,,,,,,,,,,,,,,
119,29.1.2024,offer,repka,,Milan,,,,,,,,,,,"40/9/2, iscc, gmp, 500t, FCA Levice-Krupina, price?, 2-4/2024",Horné Semerovce,,,,,,,,,,,,,,,,,,,,
120,29.1.2024,offer,maize,,Milan,,,,,,,,,,,"maize,14,5/8/2, iscc, gmp, FCA Levice-Krupina, 2-4/2024, 2000t",Horné Semerovce,,,,,,,,,,,,,,,,,,,,
121,29.1.2024,offer,wheat,,Milan,,,,,,,,,,,"12,5-13% FCA Levice, 2-4/2024, 1500t",Kukučínov,,,,,,,,,,,,,,,,,,,,
122,30.01.2024,offer,wheat,,Braňo,,,,,,,,,,,"wheat, 13,5/80/300, 200t, FCA Nové Zámky+20km, 2/24 - 15.3.2024, 205€/t",Imeľ,,,,,,,,,,,,,,,,,,,,
123,30.01.2024,offer,wheat,,Braňo,,,,,,,,,,,"12,5/80/250, 300t, FCA Nové Zámky+20km ",Imeľ,,,,,,,,,,,,,,,,,,,,
124,30.01.2024,offer,wheat,,Braňo,,,,,,,,,,,"12/80/300, 300t, FCA Nové Zámky+20km",Imeľ,,,,,,,,,,,,,,,,,,,,
125,30.01.2024,offer,maize,,Braňo,,,,,,,,,,,"XFIX PONUKA  - 14,5/8/2,GMP, ISCC, FCA TT+20km, 2/2024, 100t, 160€/tX",Braňo predal Dušanovi,,,,,,,,,,,,,,,,,,,,
126,1.2.2024,offer,barley,,Milan,,,,,,,,,,,"barley 62kg/HL, FCA Nitra, 100t, 2-3/2024",Pohranice,,,,,,,,,,,,,,,,,,,,
127,1.2.2024,offer,wheat,,Braňo,,,,,,,,,,,"wheat ARKEOS, 300t, 10,5/78/220, FCA Levice+20km, 2/2024",,,,,,,,,,,,,,,,,,,,,
128,1.2.2024,offer,wheatbran,,Majo,,,,,,,,,,,"wheatbran bulk, EU origin, 4-6/2024, 100t per Month","FCA Litomerice 2650kč, FCA Kyjov 2350kč, ",,,,,,,,,,,,,,,,,,,,
129,05.02.2024,offer,rapeseed,,Milan,,,,,,,,,,,"40/9/2, iscc, gmp, 100t, FCA Zlaté Moravce, price?, 2-4/2024",FCA Hosťovce,,,,,,,,,,,,,,,,,,,,
130,05.02.2024,offer,wheat,,Milan,,,,,,,,,,,"XFeedwheat, 72kg/HL, 200t, FCA Nitra X",predal inému partnerovi,,,,,,,,,,,,,,,,,,,,
131,05.02.2024,offer,barley,,Milan,,,,,,,,,,,"XFeedbarley, 62kg/HL, FCA Nitra X",predal inému partnerovi,,,,,,,,,,,,,,,,,,,,
132,05.02.2024,offer,wheat,,Milan,,,,,,,,,,,"Feedwheat, 72kg/HL, 1000t, FCA Rim.Sobota +15km",FCA Ožďany,,,,,,,,,,,,,,,,,,,,
133,05.02.2024,offer,wheat,,Milan,,,,,,,,,,,"Feedwheat, 72kg/HL, 50t, FCA Šahy +15km",FCA Dudince,,,,,,,,,,,,,,,,,,,,
